Fruit,Alternative Product,Market,Shop,Location,Profitability Score,Quality Rating
Coconut,Pickles,Puttalam Market,Northwest Fruits,Puttalam,8.6,B
Soursop,Nectar,Galle Fruit Market,Southern Agro Supplies,Galle,9.2,A
Durian,Canned Fruit,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.5,B
Papaya,Smoothie Mix,Matara Market,Matara Fruit Bazaar,Matara,7.8,B
Pomegranate,Fruit Pizza,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.2,B
Blueberry,Pulp,Jaffna Market,Northern Fresh Fruits,Jaffna,8.6,A
Pomegranate,Canned Fruit Cocktail,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.6,A
Papaya,Vinegar,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.8,B
Avocado,Fruit-Flavored Tea,Matara Market,Matara Fruit Bazaar,Matara,8.6,C
Peach,Compote,Matara Market,Matara Fruit Bazaar,Matara,8.2,A
Blueberry,Fruit-Filled Pastries,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.7,B
Pineapple,Fruit Topping,Kandy Central Market,Highland Fruit Mart,Kandy,9.1,C
Strawberry,Fruit Snacks,Galle Fruit Market,Southern Agro Supplies,Galle,9.7,C
Guava,Fruit-Infused Water,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.6,B
Apple,Pulp,Badulla Market,Hill Country Fresh,Badulla,7.7,C
Plum,Fruit Chips,Badulla Market,Hill Country Fresh,Badulla,8.4,B
Mango,Fermented Drink,Badulla Market,Hill Country Fresh,Badulla,8.7,A
Apple,Compote,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.8,B
Pomegranate,Freeze-Dried Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,8.7,A
Kiwi,Smoothie Mix,Puttalam Market,Northwest Fruits,Puttalam,8.6,C
Lemon,Canned Fruit Cocktail,Jaffna Market,Northern Fresh Fruits,Jaffna,9.8,C
Coconut,Marmalade,Matara Market,Matara Fruit Bazaar,Matara,7.7,A
Lemon,Wine,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.9,B
Durian,Wine,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.3,C
Rambutan,Frozen Dessert,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.6,A
Strawberry,Fermented Drink,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.8,B
Mango,Freeze-Dried Fruit,Badulla Market,Hill Country Fresh,Badulla,9.9,C
Woodapple,Nectar,Kandy Central Market,Highland Fruit Mart,Kandy,8.8,C
Pear,Freeze-Dried Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.2,A
Peach,Frozen Dessert,Matara Market,Matara Fruit Bazaar,Matara,9.4,A
Guava,Marmalade,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.7,A
Avocado,Canned Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.8,B
Durian,Juice,Badulla Market,Hill Country Fresh,Badulla,9.2,B
Grapes,Fruit Candy,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.7,B
Jackfruit,Pickles,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.3,B
Beli,Pickles,Puttalam Market,Northwest Fruits,Puttalam,8.2,C
Strawberry,Fruit Butter,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.1,B
Cherry,Fruit Candy,Matara Market,Matara Fruit Bazaar,Matara,9.7,B
Watermelon,Fruit Topping,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.5,B
Rambutan,Fruit Snacks,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.9,C
Coconut,Smoothie Mix,Badulla Market,Hill Country Fresh,Badulla,9.5,C
Pomegranate,Fruit Chips,Galle Fruit Market,Southern Agro Supplies,Galle,9.4,B
Blueberry,Freeze-Dried Fruit,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.2,B
Rambutan,Fruit Pizza,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.9,B
Grapes,Jelly,Matara Market,Matara Fruit Bazaar,Matara,9.3,A
Strawberry,Flavored Yogurt,Ratnapura Market,Gemland Fruits,Ratnapura,8.3,B
Mangosteen,Fruit Extract,Ratnapura Market,Gemland Fruits,Ratnapura,7.7,C
Lemon,Syrup,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.8,A
Coconut,Canned Fruit,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,10.0,C
Orange,Preserves,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.0,C
Custard Apple,Smoothie Mix,Puttalam Market,Northwest Fruits,Puttalam,9.8,C
Grapes,Fruit Salad Mix,Galle Fruit Market,Southern Agro Supplies,Galle,9.8,B
Woodapple,Fruit Concentrate,Matara Market,Matara Fruit Bazaar,Matara,9.9,A
Pomegranate,Fruit Snacks,Kandy Central Market,Highland Fruit Mart,Kandy,9.7,C
Cherry,Fruit Salsa,Matara Market,Matara Fruit Bazaar,Matara,8.9,B
Pomegranate,Fruit-Based Dietary Supplements,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.6,A
Papaya,Canned Fruit,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.0,B
Jackfruit,Sauce,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.3,B
Coconut,Fermented Drink,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.6,C
Rambutan,Fruit-Infused Water,Matara Market,Matara Fruit Bazaar,Matara,9.0,C
Apple,Freeze-Dried Fruit,Puttalam Market,Northwest Fruits,Puttalam,8.4,B
Mango,Fruit Snacks,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.2,B
Pomegranate,Sauce,Kandy Central Market,Highland Fruit Mart,Kandy,9.4,C
Woodapple,Essential Oil,Galle Fruit Market,Southern Agro Supplies,Galle,9.0,A
Strawberry,Fruit Concentrate,Puttalam Market,Northwest Fruits,Puttalam,9.1,B
Plum,Essential Oil,Kandy Central Market,Highland Fruit Mart,Kandy,8.3,A
Apple,Fruit Salad Mix,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.0,A
Pear,Fermented Drink,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.3,A
Pomegranate,Juice,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.6,C
Woodapple,Frozen Dessert,Kandy Central Market,Highland Fruit Mart,Kandy,7.6,C
Lemon,Fruit-Based Dietary Supplements,Kandy Central Market,Highland Fruit Mart,Kandy,9.1,C
Kiwi,Chutney,Matara Market,Matara Fruit Bazaar,Matara,9.8,A
Orange,Fruit Salad Mix,Matara Market,Matara Fruit Bazaar,Matara,9.9,B
Lemon,Fruit Salad Mix,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.8,C
Banana,Jelly,Jaffna Market,Northern Fresh Fruits,Jaffna,7.9,C
Grapes,Fruit Puree,Kandy Central Market,Highland Fruit Mart,Kandy,7.7,B
Peach,Fruit Bars,Galle Fruit Market,Southern Agro Supplies,Galle,8.4,B
Cherry,Fruit-Flavored Tea,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.3,A
Rambutan,Fruit Topping,Ratnapura Market,Gemland Fruits,Ratnapura,8.1,B
Banana,Fruit-Based Dietary Supplements,Badulla Market,Hill Country Fresh,Badulla,9.1,A
Pineapple,Syrup,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.4,A
Pear,Fruit-Flavored Tea,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.3,A
Lemon,Canned Fruit Cocktail,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.7,C
Lemon,Sauce,Negombo Fish Market,Negombo Fresh Supplies,Negombo,10.0,A
Orange,Nectar,Jaffna Market,Northern Fresh Fruits,Jaffna,8.1,C
Beli,Fruit Chips,Badulla Market,Hill Country Fresh,Badulla,9.8,C
Lemon,Fruit Topping,Matara Market,Matara Fruit Bazaar,Matara,9.2,B
Watermelon,Fruit Chips,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.8,C
Kiwi,Smoothie Mix,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.6,A
Soursop,Canned Fruit Cocktail,Galle Fruit Market,Southern Agro Supplies,Galle,9.6,A
Guava,Fruit-Flavored Tea,Ratnapura Market,Gemland Fruits,Ratnapura,9.2,C
Coconut,Marmalade,Badulla Market,Hill Country Fresh,Badulla,8.4,A
Apple,Dried Fruit,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.5,B
Watermelon,Fruit-Filled Pastries,Badulla Market,Hill Country Fresh,Badulla,9.7,C
Orange,Pickles,Puttalam Market,Northwest Fruits,Puttalam,9.1,B
Mango,Sauce,Badulla Market,Hill Country Fresh,Badulla,9.2,A
Orange,Fruit Butter,Matara Market,Matara Fruit Bazaar,Matara,9.0,B
Pomegranate,Sauce,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.6,A
Grapes,Compote,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.7,C
Mango,Vinegar,Ratnapura Market,Gemland Fruits,Ratnapura,8.3,A
Blueberry,Pickles,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.6,C
Papaya,Fermented Drink,Ratnapura Market,Gemland Fruits,Ratnapura,9.3,A
Kiwi,Fruit Salad Mix,Galle Fruit Market,Southern Agro Supplies,Galle,9.0,C
Guava,Powdered Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,9.3,A
Banana,Fermented Drink,Galle Fruit Market,Southern Agro Supplies,Galle,9.5,A
Rambutan,Juice,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.9,A
Pomegranate,Canned Fruit Cocktail,Badulla Market,Hill Country Fresh,Badulla,7.9,B
Cherry,Preserves,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.9,C
Blueberry,Fruit Candy,Puttalam Market,Northwest Fruits,Puttalam,9.4,C
Guava,Fermented Drink,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.4,C
Grapes,Fruit-Based Dietary Supplements,Puttalam Market,Northwest Fruits,Puttalam,9.9,A
Orange,Fruit Puree,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,10.0,A
Pineapple,Fermented Drink,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.3,B
Blueberry,Jam,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.3,B
Grapes,Fruit Candy,Puttalam Market,Northwest Fruits,Puttalam,9.4,C
Avocado,Juice,Galle Fruit Market,Southern Agro Supplies,Galle,8.1,A
Apple,Fruit Snacks,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.7,B
Lychee,Syrup,Badulla Market,Hill Country Fresh,Badulla,9.2,C
Pomegranate,Pulp,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.9,B
Ambarella,Fruit Butter,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.5,A
Woodapple,Sauce,Jaffna Market,Northern Fresh Fruits,Jaffna,8.3,B
Beli,Fruit Pizza,Galle Fruit Market,Southern Agro Supplies,Galle,9.3,C
Strawberry,Jelly,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.4,C
Jackfruit,Fruit-Infused Water,Ratnapura Market,Gemland Fruits,Ratnapura,9.9,C
Soursop,Fruit-Filled Pastries,Puttalam Market,Northwest Fruits,Puttalam,7.7,B
Custard Apple,Sauce,Kandy Central Market,Highland Fruit Mart,Kandy,8.1,B
Plum,Fruit Salsa,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.7,A
Grapes,Pulp,Jaffna Market,Northern Fresh Fruits,Jaffna,8.0,C
Custard Apple,Wine,Jaffna Market,Northern Fresh Fruits,Jaffna,7.9,A
Plum,Fruit Chips,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.7,C
Woodapple,Jelly,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.9,B
Pear,Fruit Chips,Jaffna Market,Northern Fresh Fruits,Jaffna,9.9,B
Strawberry,Smoothie Mix,Badulla Market,Hill Country Fresh,Badulla,9.1,A
Pear,Fruit-Flavored Tea,Ratnapura Market,Gemland Fruits,Ratnapura,10.0,B
Mango,Wine,Galle Fruit Market,Southern Agro Supplies,Galle,7.8,A
Woodapple,Preserves,Badulla Market,Hill Country Fresh,Badulla,8.2,A
Papaya,Fruit Bars,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.8,C
Custard Apple,Fruit Snacks,Puttalam Market,Northwest Fruits,Puttalam,8.2,A
Blueberry,Fruit-Based Dietary Supplements,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.3,A
Ambarella,Fruit Chips,Matara Market,Matara Fruit Bazaar,Matara,7.6,B
Banana,Fruit Pizza,Jaffna Market,Northern Fresh Fruits,Jaffna,8.4,C
Coconut,Fruit Topping,Jaffna Market,Northern Fresh Fruits,Jaffna,8.3,A
Woodapple,Fruit Puree,Kandy Central Market,Highland Fruit Mart,Kandy,10.0,A
Coconut,Fruit Candy,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.5,C
Banana,Canned Fruit,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.8,B
Strawberry,Fruit Butter,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.3,A
Woodapple,Essential Oil,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.0,A
Banana,Fruit Snacks,Galle Fruit Market,Southern Agro Supplies,Galle,8.3,B
Banana,Fruit Chips,Galle Fruit Market,Southern Agro Supplies,Galle,8.6,A
Beli,Jelly,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.8,A
Papaya,Pickles,Puttalam Market,Northwest Fruits,Puttalam,8.7,C
Custard Apple,Fruit Salsa,Matara Market,Matara Fruit Bazaar,Matara,9.0,B
Avocado,Canned Fruit,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.1,C
Jackfruit,Fruit Vinegar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.4,A
Grapes,Fruit Concentrate,Galle Fruit Market,Southern Agro Supplies,Galle,9.7,C
Ambarella,Flavored Yogurt,Galle Fruit Market,Southern Agro Supplies,Galle,9.2,B
Ambarella,Jam,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.6,C
Ambarella,Flavored Yogurt,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.8,C
Peach,Nectar,Galle Fruit Market,Southern Agro Supplies,Galle,8.4,A
Kiwi,Fruit-Infused Water,Matara Market,Matara Fruit Bazaar,Matara,7.8,B
Lemon,Fruit-Filled Pastries,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.5,B
Avocado,Fruit-Filled Pastries,Matara Market,Matara Fruit Bazaar,Matara,8.6,A
Guava,Canned Fruit Cocktail,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.7,C
Pear,Pickles,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.1,C
Kiwi,Wine,Galle Fruit Market,Southern Agro Supplies,Galle,8.6,C
Soursop,Jam,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.0,A
Jackfruit,Sauce,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.5,C
Grapes,Vinegar,Jaffna Market,Northern Fresh Fruits,Jaffna,7.9,A
Guava,Fruit Puree,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.8,B
Lemon,Fruit Topping,Kandy Central Market,Highland Fruit Mart,Kandy,7.5,A
Mango,Juice,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.9,B
Woodapple,Canned Fruit,Jaffna Market,Northern Fresh Fruits,Jaffna,7.7,B
Custard Apple,Essential Oil,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.9,A
Lemon,Fruit-Filled Pastries,Matara Market,Matara Fruit Bazaar,Matara,8.2,B
Lychee,Pulp,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.4,A
Papaya,Fruit Candy,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.9,A
Cherry,Fruit Chips,Ratnapura Market,Gemland Fruits,Ratnapura,8.0,A
Avocado,Essential Oil,Kandy Central Market,Highland Fruit Mart,Kandy,9.7,B
Blueberry,Powdered Fruit,Badulla Market,Hill Country Fresh,Badulla,8.6,A
Ambarella,Compote,Matara Market,Matara Fruit Bazaar,Matara,8.8,C
Rambutan,Nectar,Kandy Central Market,Highland Fruit Mart,Kandy,9.9,C
Papaya,Preserves,Badulla Market,Hill Country Fresh,Badulla,8.1,C
Watermelon,Canned Fruit Cocktail,Puttalam Market,Northwest Fruits,Puttalam,8.6,B
Plum,Marmalade,Badulla Market,Hill Country Fresh,Badulla,9.4,A
Orange,Fruit Topping,Puttalam Market,Northwest Fruits,Puttalam,8.0,A
Watermelon,Fruit Leather,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.9,C
Papaya,Preserves,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.7,A
Cherry,Smoothie Mix,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.5,A
Coconut,Fruit Concentrate,Matara Market,Matara Fruit Bazaar,Matara,9.7,A
Banana,Juice,Badulla Market,Hill Country Fresh,Badulla,7.6,C
Avocado,Compote,Jaffna Market,Northern Fresh Fruits,Jaffna,8.6,A
Cherry,Juice,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.7,B
Coconut,Jam,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.6,C
Coconut,Fermented Drink,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.6,B
Beli,Smoothie Mix,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.3,B
Grapes,Powdered Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,8.9,C
Kiwi,Frozen Dessert,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.7,C
Pomegranate,Fruit Bars,Kandy Central Market,Highland Fruit Mart,Kandy,9.4,B
Grapes,Compote,Kandy Central Market,Highland Fruit Mart,Kandy,7.9,B
Coconut,Jelly,Matara Market,Matara Fruit Bazaar,Matara,8.5,A
Banana,Fruit Extract,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.7,C
Mango,Essential Oil,Galle Fruit Market,Southern Agro Supplies,Galle,7.7,B
Banana,Freeze-Dried Fruit,Kandy Central Market,Highland Fruit Mart,Kandy,9.7,C
Pomegranate,Jelly,Galle Fruit Market,Southern Agro Supplies,Galle,10.0,B
Guava,Preserves,Badulla Market,Hill Country Fresh,Badulla,8.2,A
Guava,Flavored Yogurt,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.9,A
Watermelon,Syrup,Galle Fruit Market,Southern Agro Supplies,Galle,9.4,C
Coconut,Canned Fruit Cocktail,Jaffna Market,Northern Fresh Fruits,Jaffna,9.9,C
Plum,Fruit Pizza,Ratnapura Market,Gemland Fruits,Ratnapura,7.7,B
Papaya,Fermented Drink,Jaffna Market,Northern Fresh Fruits,Jaffna,7.7,A
Rambutan,Fruit Salad Mix,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.8,B
Mango,Jam,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.5,B
Durian,Fruit Vinegar,Badulla Market,Hill Country Fresh,Badulla,8.1,C
Papaya,Canned Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,8.2,B
Apple,Canned Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,9.6,C
Papaya,Compote,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.0,A
Lemon,Canned Fruit Cocktail,Ratnapura Market,Gemland Fruits,Ratnapura,9.4,B
Strawberry,Nectar,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.5,C
Grapes,Chutney,Badulla Market,Hill Country Fresh,Badulla,8.1,C
Ambarella,Nectar,Badulla Market,Hill Country Fresh,Badulla,8.6,A
Woodapple,Jam,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.9,A
Cherry,Fruit Pizza,Ratnapura Market,Gemland Fruits,Ratnapura,9.7,A
Avocado,Fermented Drink,Kandy Central Market,Highland Fruit Mart,Kandy,8.7,A
Durian,Freeze-Dried Fruit,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.3,A
Avocado,Fruit Concentrate,Ratnapura Market,Gemland Fruits,Ratnapura,9.2,A
Pear,Canned Fruit Cocktail,Galle Fruit Market,Southern Agro Supplies,Galle,8.0,A
Pomegranate,Vinegar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.8,A
Rambutan,Fruit Topping,Kandy Central Market,Highland Fruit Mart,Kandy,8.9,C
Grapes,Pulp,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.2,C
Papaya,Fruit-Flavored Tea,Matara Market,Matara Fruit Bazaar,Matara,8.1,B
Custard Apple,Essential Oil,Ratnapura Market,Gemland Fruits,Ratnapura,7.6,B
Papaya,Chutney,Matara Market,Matara Fruit Bazaar,Matara,7.8,A
Mangosteen,Wine,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.1,B
Soursop,Fruit Concentrate,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.9,C
Custard Apple,Pickles,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.8,B
Durian,Jelly,Puttalam Market,Northwest Fruits,Puttalam,8.3,B
Woodapple,Fruit Concentrate,Matara Market,Matara Fruit Bazaar,Matara,9.0,A
Ambarella,Pickles,Kandy Central Market,Highland Fruit Mart,Kandy,9.0,A
Lemon,Fermented Drink,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.2,B
Watermelon,Dried Fruit,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.8,A
Durian,Fruit Extract,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.3,B
Jackfruit,Fruit Puree,Matara Market,Matara Fruit Bazaar,Matara,8.3,C
Blueberry,Fruit-Infused Water,Galle Fruit Market,Southern Agro Supplies,Galle,9.2,B
Custard Apple,Canned Fruit Cocktail,Ratnapura Market,Gemland Fruits,Ratnapura,7.5,B
Avocado,Fruit Salsa,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.4,C
Peach,Pickles,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.2,A
Strawberry,Smoothie Mix,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.6,C
Lemon,Sauce,Kandy Central Market,Highland Fruit Mart,Kandy,8.7,A
Pear,Fruit Candy,Matara Market,Matara Fruit Bazaar,Matara,9.0,C
Pear,Sauce,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.3,A
Woodapple,Jam,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.4,C
Pear,Syrup,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,10.0,A
Ambarella,Freeze-Dried Fruit,Kandy Central Market,Highland Fruit Mart,Kandy,9.5,A
Watermelon,Canned Fruit,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.5,C
Jackfruit,Fruit Bars,Jaffna Market,Northern Fresh Fruits,Jaffna,7.9,A
Woodapple,Smoothie Mix,Kandy Central Market,Highland Fruit Mart,Kandy,9.5,A
Ambarella,Fruit Topping,Ratnapura Market,Gemland Fruits,Ratnapura,9.9,A
Orange,Fruit Vinegar,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.3,B
Beli,Nectar,Matara Market,Matara Fruit Bazaar,Matara,8.4,C
Ambarella,Fruit Leather,Anuradhapura Market,Sacred City Agro,Anuradhapura,7.8,A
Kiwi,Vinegar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,7.7,C
Custard Apple,Sauce,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,8.1,B
Woodapple,Juice,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.6,A
Guava,Vinegar,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.0,C
Lemon,Marmalade,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.3,B
Coconut,Canned Fruit Cocktail,Matara Market,Matara Fruit Bazaar,Matara,8.6,B
Jackfruit,Fruit-Infused Water,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.4,B
Blueberry,Fermented Drink,Kandy Central Market,Highland Fruit Mart,Kandy,9.1,A
Mango,Jelly,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.1,A
Orange,Fruit Snacks,Badulla Market,Hill Country Fresh,Badulla,8.5,A
Apple,Fruit-Infused Water,Matara Market,Matara Fruit Bazaar,Matara,10.0,C
Pomegranate,Wine,Ratnapura Market,Gemland Fruits,Ratnapura,9.8,B
Guava,Powdered Fruit,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,7.5,B
Pear,Marmalade,Matara Market,Matara Fruit Bazaar,Matara,8.4,A
Peach,Fruit Topping,Matara Market,Matara Fruit Bazaar,Matara,7.8,C
Pineapple,Syrup,Galle Fruit Market,Southern Agro Supplies,Galle,9.7,C
Pineapple,Nectar,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.0,C
Peach,Fruit Puree,Ratnapura Market,Gemland Fruits,Ratnapura,9.7,A
Strawberry,Flavored Yogurt,Badulla Market,Hill Country Fresh,Badulla,9.5,B
Pomegranate,Fruit-Based Dietary Supplements,Jaffna Market,Northern Fresh Fruits,Jaffna,9.3,A
Ambarella,Juice,Puttalam Market,Northwest Fruits,Puttalam,7.8,B
Durian,Chutney,Galle Fruit Market,Southern Agro Supplies,Galle,9.9,A
Coconut,Pulp,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.1,B
Plum,Marmalade,Galle Fruit Market,Southern Agro Supplies,Galle,8.4,B
Kiwi,Juice,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.6,A
Rambutan,Powdered Fruit,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.9,C
Guava,Fruit Extract,Puttalam Market,Northwest Fruits,Puttalam,8.3,C
Watermelon,Fruit-Flavored Tea,Matara Market,Matara Fruit Bazaar,Matara,9.4,B
Pomegranate,Fruit Topping,Jaffna Market,Northern Fresh Fruits,Jaffna,8.4,C
Custard Apple,Vinegar,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.0,A
Plum,Fruit Topping,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,8.6,B
Custard Apple,Fruit Chips,Badulla Market,Hill Country Fresh,Badulla,8.8,A
Mangosteen,Fruit Salsa,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.0,C
Soursop,Fermented Drink,Jaffna Market,Northern Fresh Fruits,Jaffna,7.7,A
Mangosteen,Jelly,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.5,C
Durian,Fruit Salsa,Badulla Market,Hill Country Fresh,Badulla,9.6,A
Blueberry,Nectar,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,9.2,A
Watermelon,Frozen Dessert,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.3,C
Ambarella,Freeze-Dried Fruit,Badulla Market,Hill Country Fresh,Badulla,9.6,A
Plum,Marmalade,Badulla Market,Hill Country Fresh,Badulla,9.3,A
Pear,Fruit-Based Dietary Supplements,Kandy Central Market,Highland Fruit Mart,Kandy,9.7,C
Guava,Fruit Puree,Ratnapura Market,Gemland Fruits,Ratnapura,9.9,B
Lemon,Frozen Dessert,Jaffna Market,Northern Fresh Fruits,Jaffna,9.8,B
Avocado,Fruit-Infused Water,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.7,B
Pineapple,Fruit Leather,Matara Market,Matara Fruit Bazaar,Matara,8.6,C
Beli,Freeze-Dried Fruit,Badulla Market,Hill Country Fresh,Badulla,9.2,B
Watermelon,Frozen Dessert,Kandy Central Market,Highland Fruit Mart,Kandy,7.7,A
Kiwi,Fruit Chips,Galle Fruit Market,Southern Agro Supplies,Galle,7.8,A
Mangosteen,Fruit Pizza,Colombo Pettah Market,Fruit Lanka Traders,Colombo,8.3,A
